Offset(V)     Pid     Handle     Access Type             Details
0x812a5408   1076     0x155c   0x1f0003 Event            
0x812a53d8   1076     0x1560   0x1f0003 Event            
0x812a53a8   1076     0x1564   0x1f0003 Event            
0x812a5378   1076     0x1568   0x1f0003 Event            
0x812a5348   1076     0x156c   0x1f0003 Event            
0x812a5318   1076     0x1570   0x1f0003 Event            
0x812a52e8   1076     0x1574   0x1f0003 Event            
0x812a52b8   1076     0x1578   0x1f0003 Event            
0x812a2ff0   1076     0x157c   0x1f0003 Event            
0x812a2fc0   1076     0x1580   0x1f0003 Event            
0x812a2d48   1076     0x1584   0x1f03ff Thread           TID 2528 PID 1076
0x812a2cd0   1076     0x1588   0x1f0001 Mutant           
0x812a2ca0   1076     0x158c   0x1f0003 Event            
0x812a2c60   1076     0x1590   0x1f0001 Mutant           
0x812a2c20   1076     0x1594   0x1f0001 Mutant           
0x812a2698   1076     0x1598   0x100003 Semaphore        
0x812a2d10   1076     0x159c   0x100003 Semaphore        
0xe1ebda40   1076     0x15a0    0x20019 Key              MACHINE\SOFTWARE\MICROSOFT\TRACING\CONFTSP
0x812a2668   1076     0x15a4   0x1f0003 Event            
0x812a2be0   1076     0x15a8   0x1f0001 Mutant           
0x812a1e30   1076     0x15ac   0x1f0003 Event            
0x812a1df0   1076     0x15b0   0x1f0001 Mutant           
0x8161e298   1076     0x15b4   0x12019f File             \Device\HarddiskVolume1\WINDOWS\system32\h323log.txt
0x812a1c78   1076     0x15b8   0x1f0003 Event            
0xe186efb8   1076     0x15bc    0x20019 Key              MACHINE\SOFTWARE\MICROSOFT\WINDOWS\CURRENTVERSION\H323TSP
0x812a1c48   1076     0x15c0   0x1f0003 Event            
0x812a1b20   1076     0x15c4   0x1f0003 IoCompletion     
0x812a1b68   1076     0x15c8   0x1f0003 Event            
0x812a18a8   1076     0x15cc   0x1f03ff Thread           TID 2532 PID 1076
0x812a1db0   1076     0x15d0   0x1f0001 Mutant           
0x812a1840   1076     0x15d4   0x1f0003 Event            
0x812a1800   1076     0x15d8   0x1f0001 Mutant           
0x812a1180   1076     0x15dc   0x1f0003 Event            
0x812a0da8   1076     0x15e0   0x1f03ff Thread           TID 2536 PID 1076
0x812a17c0   1076     0x15e4   0x1f0001 Mutant           
0x812a1120   1076     0x15e8   0x1f0003 Event            
0x812a0da8   1076     0x15ec   0x1f03ff Thread           TID 2536 PID 1076
0x8187f1f8   1076     0x15f0   0x100003 Event            
0xe1ced850   1076     0x15f4   0x1f0001 Port             
0x812d4d88   1076     0x15f8   0x12019f File             \Device\NamedPipe\ROUTER
0x813560b0   1076     0x15fc   0x1f0003 Event            
0x81525240   1076     0x1600   0x1f0003 Event            
0x81356ce0   1076     0x1604   0x1f0003 Event            
0x8129e630   1076     0x1608        0x4 WmiGuid          
0x812e2180   1076     0x160c   0x1f0001 Mutant           RAS_MO_02
0x8157f030   1076     0x1610   0x1f0001 Mutant           RAS_MO_01
0x818e7020   1076     0x1614   0x1f0003 Event            
0x8131baa0   1076     0x1618   0x12019f File             \Device\NamedPipe\ROUTER
0x812bc138   1076     0x161c   0x12019f File             \Device\NamedPipe\ROUTER
0xe1cff5f0   1076     0x1620    0xf0007 Section          Debug.Memory.434
0x81308df0   1076     0x1624   0x100003 Semaphore        
0x81929430   1076     0x1628   0x100003 Semaphore        
0x81302060   1076     0x162c   0x1f0003 Event            
0x815c91c8   1076     0x1630   0x100003 Semaphore        
0x815c9200   1076     0x1634   0x100003 Semaphore        
0xe158a1b0   1076     0x1638    0x20019 Key              MACHINE\SOFTWARE\MICROSOFT\TRACING\RASQEC
0x81660f50   1076     0x163c   0x1f0003 Event            
0x813020c0   1076     0x1640   0x1f0003 Event            
0x8129d020   1076     0x1644   0x1f03ff Thread           TID 2628 PID 1076
0xe1cc6b10   1076     0x1648       0x10 Key              MACHINE\SYSTEM\CONTROLSET001\SERVICES\RASMAN\PARAMETERS\QUARANTINE
0x812a0af8   1076     0x164c   0x100003 Semaphore        
0x812a0ac0   1076     0x1650   0x100003 Semaphore        
0xe1cdec28   1076     0x1654    0x20019 Key              MACHINE\SOFTWARE\MICROSOFT\TRACING\RASMAN
0x812a0a90   1076     0x1658   0x1f0003 Event            
0x8129d2f0   1076     0x165c   0x100003 Semaphore        
0x8129d2b8   1076     0x1660   0x100003 Semaphore        
0xe1d0cd88   1076     0x1664    0x20019 Key              MACHINE\SOFTWARE\MICROSOFT\TRACING\PPP
0x8129dd78   1076     0x1668   0x1f0003 Event            
0x8129cf48   1076     0x166c   0x100003 Semaphore        
0x8129cf10   1076     0x1670   0x100003 Semaphore        
0xe183be68   1076     0x1674    0x20019 Key              MACHINE\SOFTWARE\MICROSOFT\TRACING\BAP
0x8129cee0   1076     0x1678   0x1f0003 Event            
0xe1ca82d8   1076     0x167c    0x20019 Key              MACHINE\SYSTEM\CONTROLSET001\SERVICES\RASMAN\PPP
0x812bda38   1076     0x1680   0x12019f File             \Device\HarddiskVolume1\WINDOWS\SoftwareDistribution\ReportingEvents.log
0x8129c758   1076     0x1684   0x100003 Semaphore        
0x8129c720   1076     0x1688   0x100003 Semaphore        
0xe1c4c730   1076     0x168c    0x20019 Key              MACHINE\SOFTWARE\MICROSOFT\TRACING\RASSPAP
0x8129c6f0   1076     0x1690   0x1f0003 Event            
0x8129bf10   1076     0x1694   0x100003 Semaphore        
0x8129bed8   1076     0x1698   0x100003 Semaphore        
0xe1d2b590   1076     0x169c    0x20019 Key              MACHINE\SOFTWARE\MICROSOFT\TRACING\RASPAP
0x8129bea8   1076     0x16a0   0x1f0003 Event            
0x8129b6a0   1076     0x16a4   0x100003 Semaphore        
0x8129b668   1076     0x16a8   0x100003 Semaphore        
0xe1cfe118   1076     0x16ac    0x20019 Key              MACHINE\SOFTWARE\MICROSOFT\TRACING\RASEAP
0x8129b638   1076     0x16b0   0x1f0003 Event            
0x8129add0   1076     0x16b4   0x100003 Semaphore        
0x8129ad98   1076     0x16b8   0x100003 Semaphore        
0xe1cc7168   1076     0x16bc    0x20019 Key              MACHINE\SOFTWARE\MICROSOFT\TRACING\RASCCP
0x8129ad68   1076     0x16c0   0x1f0003 Event            
0x8129a4c0   1076     0x16c4   0x100003 Semaphore        
0x8129a488   1076     0x16c8   0x100003 Semaphore        
0xe1cc7100   1076     0x16cc    0x20019 Key              MACHINE\SOFTWARE\MICROSOFT\TRACING\RASBACP
0x8129a458   1076     0x16d0   0x1f0003 Event            
0xe18d6f38   1076     0x16d4    0x20019 Key              USER\.DEFAULT\SOFTWARE\POLICIES\MICROSOFT\SYSTEMCERTIFICATES
0x818e69d8   1076     0x16d8   0x12019f File             \Device\NamedPipe\wkssvc
0x81796e88   1076     0x16dc   0x1f0003 Event            
0x81299998   1076     0x16e0   0x1f0003 Event            
0x81299968   1076     0x16e4   0x1f0003 Event            
0x81299938   1076     0x16e8   0x1f0003 Event            
0x812a6b30   1076     0x16ec   0x1f03ff Thread           TID 2428 PID 1076
0x81299688   1076     0x16f0   0x100003 Semaphore        
0x81299650   1076     0x16f4   0x100003 Semaphore        
0xe1ca8270   1076     0x16f8    0x20019 Key              MACHINE\SOFTWARE\MICROSOFT\TRACING\RASIPHLP
0x81299620   1076     0x16fc   0x1f0003 Event            
0x812e6ad8   1076     0x1700   0x12019f File             \Device\WANARP
0x81298b68   1076     0x1704   0x100003 Semaphore        
0x812c5ba0   1076     0x1708   0x12019f File             \Device\NamedPipe\srvsvc
0x81298b00   1076     0x170c   0x1f0003 Event            
0xe1d50ea0   1076     0x1710    0x20019 Key              MACHINE\SOFTWARE\MICROSOFT\TRACING\RASIPCP
0x81298b30   1076     0x1714   0x100003 Semaphore        
0x81357240   1076     0x1718   0x1f0003 Event            
0x814a0eb0   1076     0x171c   0x100003 Event            
0x813570b0   1076     0x1720   0x1f0003 Event            
0x81525ce0   1076     0x1724   0x1f0003 Event            
0xe1cc8610   1076     0x1728    0x20019 Key              USER\.DEFAULT\SOFTWARE\POLICIES\MICROSOFT\SYSTEMCERTIFICATES
0x81357ce0   1076     0x172c   0x1f0003 Event            
0x81673588   1076     0x1730   0x1f0003 Event            
0x81526240   1076     0x1734   0x1f0003 Event            
0x815264e8   1076     0x1738   0x1f0003 Event            
0x81526790   1076     0x173c   0x1f0003 Event            
0x81526a38   1076     0x1740   0x1f0003 Event            
0x81526ce0   1076     0x1744   0x1f0003 Event            
0x813580b0   1076     0x1748   0x1f0003 Event            
0x81358240   1076     0x174c   0x1f0003 Event            
0x813584e8   1076     0x1750   0x1f0003 Event            
0x81358790   1076     0x1754   0x1f0003 Event            
0xe15dbac8   1076     0x1758    0x20019 Key              USER\.DEFAULT\SOFTWARE\POLICIES\MICROSOFT\SYSTEMCERTIFICATES
0x81358a38   1076     0x175c   0x1f0003 Event            
0x81358ce0   1076     0x1760   0x1f0003 Event            
0x815332a8   1076     0x1764   0x1f0003 Event            
0x81533438   1076     0x1768   0x1f0003 Event            
0x815336e0   1076     0x176c   0x1f0003 Event            
0x81371ac8   1076     0x1770   0x1f0003 Event            
0x81533470   1076     0x1774   0x100001 File             \Device\HarddiskVolume1\WINDOWS\system32\config\systemprofile\Application Data\Microsoft\SystemCertificates\My
0x81302190   1076     0x1778   0x1f03ff Thread           TID 3272 PID 1076
0x81324b58   1076     0x177c   0x1f03ff Thread           TID 1884 PID 1076
0x818aac48   1076     0x1780   0x1f0003 Event            
0xe1cc1570   1076     0x1784        0x4 Section          
0x817f6328   1076     0x1788   0x1f0003 Event            
0x81314cd8   1076     0x179c   0x1f0003 Event            
0x812c7880   1076     0x17a4   0x1f01ff File             \Device\Afd\Endpoint
0xe1ca6898   1076     0x17a8    0x20019 Key              MACHINE\SOFTWARE\CLASSES
0x814d3ad0   1076     0x17ac   0x1f03ff Thread           TID 1216 PID 1076
0x81509708   1076     0x17b0   0x1f0003 Event            
0x8136bb30   1076     0x17bc   0x1f03ff Thread           TID 1488 PID 1076
0x817d7330   1076     0x17c0   0x1f0003 Event            
0x812aafc0   1076     0x17c4   0x1f0003 Event            
0x81899348   1076     0x17d0   0x100003 Event            
0x8154f3a8   1076     0x17dc   0x1f03ff Thread           TID 1660 PID 1076
0xe1000080   1200        0x4    0x20003 KeyedEvent       CritSecOutOfMemoryEvent
0xe15b28e8   1200        0x8        0x3 Directory        KnownDlls
0x819328c8   1200        0xc   0x100020 File             \Device\HarddiskVolume1\WINDOWS\system32
0x816a0be8   1200       0x10   0x100003 Semaphore        
0xe15969c8   1200       0x14    0xf000f Directory        Windows
0xe1dcdbb8   1200       0x18  0x21f0001 Port             
0x816a0c70   1200       0x1c   0x100003 Semaphore        
0xe164d468   1200       0x20    0x2000f Directory        BaseNamedObjects
0x8149cf60   1200       0x24   0x1f0001 Mutant           SHIMLIB_LOG_MUTEX
0xe1df8d58   1200       0x28  0x2020019 Key              MACHINE
0x818b5720   1200       0x2c    0xf006e WindowStation    Service-0x0-3e4$
0x81559f20   1200       0x30  0x21f0003 Event            
0x817a0998   1200       0x34    0xf00cf Desktop          Default
0x818b5720   1200       0x38    0xf006e WindowStation    Service-0x0-3e4$
0x8164a428   1200       0x3c   0x1f0003 Event            
0x81649b70   1200       0x40   0x100003 Semaphore        
0x81649810   1200       0x44   0x100003 Semaphore        
0xe1d84be8   1200       0x48    0x20019 Key              MACHINE\SOFTWARE\MICROSOFT\WINDOWS NT\CURRENTVERSION\DRIVERS32
0x81389610   1200       0x4c   0x1f0003 Event            
0x817f7b58   1200       0x50   0x100001 File             \Device\KsecDD
0x813895a8   1200       0x54   0x1f0003 Event            
0xe1df8df0   1200       0x58    0x20019 Key              MACHINE\SOFTWARE\MICROSOFT\WINDOWS NT\CURRENTVERSION\DRIVERS32
0x81724c80   1200       0x5c   0x100002 Semaphore        shell.{A48F1A32-A340-11D1-BC6B-00A0C90312E1}
0x815596e0   1200       0x60   0x1f0003 Event            
0x81649a08   1200       0x64   0x100020 File             \Device\HarddiskVolume1\WINDOWS\WinSxS\x86_Microsoft.Windows.Common-Controls_6595b64144ccf1df_6.0.2600.6028_x-ww_61e65202
0x8169eb20   1200       0x68   0x1f0003 Event            
0x8169eaf0   1200       0x6c   0x1f0003 Event            
0x8138bc18   1200       0x70   0x12019f File             \Device\NamedPipe\net\NtControlPipe7
0x8169e7d8   1200       0x74   0x1f0003 Event            
0x817f6a00   1200       0x78   0x1f03ff Thread           TID 1204 PID 1200
0x8169ef50   1200       0x7c   0x1f0003 Event            
0xe1df74d0   1200       0x80   0x1f0001 Port             
0x816a0b28   1200       0x84   0x1200a0 File             \Device\Tcp
0x81553028   1200       0x88   0x1200a0 File             \Device\Ip
0x813883f8   1200       0x8c   0x120116 File             \Device\Tcp
0x81553a50   1200       0x90   0x100003 File             \Device\Ip
0x815539b8   1200       0x94   0x1200a0 File             \Device\Ip
0x818b0d98   1200       0x98   0x100003 Semaphore        
0x815531d0   1200       0x9c   0x100003 Semaphore        
0xe1df2368   1200       0xa0    0x20019 Key              MACHINE\SYSTEM\CONTROLSET001\SERVICES\TCPIP\LINKAGE
0xe1d85d68   1200       0xa4    0x20019 Key              MACHINE\SYSTEM\CONTROLSET001\SERVICES\TCPIP\PARAMETERS
0xe19ffe38   1200       0xa8    0x20019 Key              MACHINE\SYSTEM\CONTROLSET001\SERVICES\NETBT\PARAMETERS\INTERFACES
0xe1c040e8   1200       0xac    0x20019 Key              MACHINE\SYSTEM\CONTROLSET001\SERVICES\NETBT\PARAMETERS
0x81387d78   1200       0xb0   0x1f0003 Event            
0x81387d48   1200       0xb8   0x1f0003 Event            
0xe16ddbc0   1200       0xbc    0x20019 Key              MACHINE\SYSTEM\CONTROLSET001\SERVICES\WINSOCK2\PARAMETERS\PROTOCOL_CATALOG9
0x81387d18   1200       0xc0   0x1f0003 Event            
0xe1c23788   1200       0xc4    0x20019 Key              MACHINE\SYSTEM\CONTROLSET001\SERVICES\WINSOCK2\PARAMETERS\NAMESPACE_CATALOG5
0x81387cb0   1200       0xc8   0x1f0003 Event            
0x81387c28   1200       0xcc   0x1f0003 Event            
0x813878a0   1200       0xd0   0x1f03ff Thread           TID 1348 PID 1200
0x81387628   1200       0xd4   0x1f03ff Thread           TID 1352 PID 1200
0x815ca470   1200       0xd8   0x1f0003 Event            
0x812a5b38   1200       0xdc   0x1f03ff Thread           TID 2464 PID 1200
0xe1e40a90   1200       0xe0   0x1f0001 Port             DNSResolver
0x81387530   1200       0xe4   0x1f0003 Event            
0x818aa020   1200       0xe8   0x1f03ff Thread           TID 1356 PID 1200
0x8163e8c0   1200       0xec   0x100001 File             \Device\HarddiskVolume1\WINDOWS\system32\drivers\etc
0x812a8cc0   1200       0xf0   0x1f0003 Event            
0x812a5b38   1200       0xf4   0x1f03ff Thread           TID 2464 PID 1200
0x8187e180   1200       0xf8   0x1200a0 File             \Device\Tcp
0x812b3910   1200       0xfc   0x1f0003 Event            
0x818aa020   1200      0x100   0x1f03ff Thread           TID 1356 PID 1200
0x81897468   1200      0x104   0x1f0003 Event            
0xe1c96280   1200      0x108   0x1f0001 Port             
0x812a5e08   1200      0x10c   0x1f0003 Event            
0x812a8ef8   1200      0x110   0x1f0003 IoCompletion     
0x81329f48   1200      0x114   0x1f0003 IoCompletion     
0x812a8ef8   1200      0x118   0x1f0003 IoCompletion     
0x81497468   1200      0x120   0x1f03ff Thread           TID 2180 PID 1200
0xe1894900   1200      0x124   0x1f0001 Port             
0x8136ab28   1200      0x12c   0x1f0003 Event            
0x81497468   1200      0x130   0x1f03ff Thread           TID 2180 PID 1200
0x81305508   1200      0x138   0x12019f File             \Device\WMIDataDevice
0x81805f38   1200      0x13c   0x1f0003 Event            
0x81305110   1200      0x140      0xa84 WmiGuid          
0x813057a8   1200      0x144   0x12019f File             \Device\WMIDataDevice
0x818ae088   1200      0x148   0x1f0003 Event            
0x817f7548   1200      0x14c   0x1f07fb Process          svchost.exe(1200)
0x8160d4a0   1200      0x150   0x1f0003 Event            
0x8160d440   1200      0x154   0x1f0003 Event            
0xe1000080   1336        0x4    0x20003 KeyedEvent       CritSecOutOfMemoryEvent
0xe15b28e8   1336        0x8        0x3 Directory        KnownDlls
0x8169e6c0   1336        0xc   0x100020 File             \Device\HarddiskVolume1\WINDOWS\system32
0x81387ce0   1336       0x10   0x100003 Semaphore        
0xe15969c8   1336       0x14    0xf000f Directory        Windows
0xe1e376d0   1336       0x18  0x21f0001 Port             
0x816490b0   1336       0x1c   0x100003 Semaphore        
0xe164d468   1336       0x20    0x2000f Directory        BaseNamedObjects
0x8149cf60   1336       0x24   0x1f0001 Mutant           SHIMLIB_LOG_MUTEX
0xe1df8a80   1336       0x28  0x2020019 Key              MACHINE
0x815530e8   1336       0x2c    0xf037f WindowStation    Service-0x0-3e5$
0x8154d998   1336       0x30  0x21f0003 Event            
0x818a9db8   1336       0x34    0xf01ff Desktop          Default
0x815530e8   1336       0x38    0xf037f WindowStation    Service-0x0-3e5$
0x8169a450   1336       0x3c   0x1f0003 Event            
0x818a9ca8   1336       0x40   0x100003 Semaphore        
0x818a9020   1336       0x44   0x100003 Semaphore        
0xe1732770   1336       0x48    0x20019 Key              MACHINE\SOFTWARE\MICROSOFT\WINDOWS NT\CURRENTVERSION\DRIVERS32
0x818a9108   1336       0x4c   0x1f0003 Event            
0x818a9168   1336       0x50   0x100001 File             \Device\KsecDD
0x818a90d8   1336       0x54   0x1f0003 Event            
0xe172f600   1336       0x58    0x20019 Key              MACHINE\SOFTWARE\MICROSOFT\WINDOWS NT\CURRENTVERSION\DRIVERS32
0x81724c80   1336       0x5c   0x100002 Semaphore        shell.{A48F1A32-A340-11D1-BC6B-00A0C90312E1}
0xe1e3f760   1336       0x60        0x8 Token            
0x8154d5e8   1336       0x64   0x100020 File             \Device\HarddiskVolume1\WINDOWS\WinSxS\x86_Microsoft.Windows.Common-Controls_6595b64144ccf1df_6.0.2600.6028_x-ww_61e65202
0x81382468   1336       0x68   0x1f0003 Event            
0x816943e8   1336       0x6c   0x100003 Semaphore        
0x8154d288   1336       0x70   0x100003 Semaphore        
0x81382430   1336       0x74   0x100003 Semaphore        
0x81381e28   1336       0x78   0x100003 Semaphore        
0x81381df0   1336       0x7c   0x100003 Semaphore        
0x81381db8   1336       0x80   0x100003 Semaphore        
0x81381d80   1336       0x84   0x100003 Semaphore        
0x81381d48   1336       0x88   0x100003 Semaphore        
0x81381d10   1336       0x8c   0x100003 Semaphore        
0x81381cd8   1336       0x90   0x100003 Semaphore        
0x81381020   1336       0x94   0x100003 Semaphore        
0x813818e8   1336       0x98   0x100003 Semaphore        
0x813818b8   1336       0x9c   0x1f0003 Event            
0x81381c78   1336       0xa0   0x1f0003 Event            
0x81381888   1336       0xa4   0x1f0003 Event            
0x81381858   1336       0xa8   0x1f0003 Event            
0x81387020   1336       0xac   0x1f03ff Thread           TID 1340 PID 1336
0xe1ebde98   1336       0xb0   0x1f0001 Port             
0x816946f8   1336       0xb4   0x1f0003 Event            
0x81694560   1336       0xb8   0x1f0003 IoCompletion     
0x816a3428   1336       0xbc   0x12019f File             \Device\NamedPipe\net\NtControlPipe8
0x8169fd60   1336       0xc0   0x1f0003 IoCompletion     
0x81694560   1336       0xc4   0x1f0003 IoCompletion     
0xe1f0ece0   1336       0xc8   0x1f0001 Port             
0x8169fce0   1336       0xcc   0x1f0003 Event            
0x8163e180   1336       0xd0   0x1200a0 File             \Device\Tcp
0x81612bc0   1336       0xd4   0x1200a0 File             \Device\Ip
0x816129d8   1336       0xd8   0x1200a0 File             \Device\Ip
0x8169fca8   1336       0xdc   0x100003 Semaphore        
0x81612d48   1336       0xe0   0x100003 Semaphore        
0xe1f234f8   1336       0xe4    0x20019 Key              MACHINE\SYSTEM\CONTROLSET001\SERVICES\TCPIP\LINKAGE
0xe1e6a4c0   1336       0xe8    0x20019 Key              MACHINE\SYSTEM\CONTROLSET001\SERVICES\TCPIP\PARAMETERS
0xe1f232c0   1336       0xec    0x20019 Key              MACHINE\SYSTEM\CONTROLSET001\SERVICES\NETBT\PARAMETERS\INTERFACES
0xe1f23f18   1336       0xf0    0x20019 Key              MACHINE\SYSTEM\CONTROLSET001\SERVICES\NETBT\PARAMETERS
0x81921e58   1336       0xf4   0x1f0003 Event            
0x816132f0   1336       0xf8   0x1f0003 Event            
0x816132c0   1336       0xfc   0x1f0003 Event            
0x81613290   1336      0x100   0x1f0003 Event            
0x81613260   1336      0x104   0x1f0003 Event            
0x81613230   1336      0x108   0x1f0003 Event            
0x816134d8   1336      0x10c   0x1f0003 Event            
0x8154c680   1336      0x110   0x1f03ff Thread           TID 1408 PID 1336
0x8154c680   1336      0x114   0x1f03ff Thread           TID 1408 PID 1336
0x81613610   1336      0x118   0x1f0003 Event            
0xe1f220e8   1336      0x11c    0x20019 Key              MACHINE\SYSTEM\CONTROLSET001\SERVICES\WINSOCK2\PARAMETERS\PROTOCOL_CATALOG9
0x816135e0   1336      0x120   0x1f0003 Event            
0xe1f22cb8   1336      0x124    0x20019 Key              MACHINE\SYSTEM\CONTROLSET001\SERVICES\WINSOCK2\PARAMETERS\NAMESPACE_CATALOG5
0x81683b30   1336      0x128   0x1f03ff Thread           TID 1424 PID 1336
0x814ca470   1336      0x12c   0x100003 File             \Device\NetBt_Wins_Export
0x816566a8   1336      0x130   0x100003 File             \Device\NetBt_Wins_Export
0x816537c8   1336      0x134   0x1f0003 Timer            
0xe18e6b48   1336      0x138    0x20019 Key              MACHINE
0x812b7be8   1336      0x13c   0x1f03ff Thread           TID 2144 PID 1336
0xe17d4fb8   1336      0x140    0x20019 Key              USER
0x818a9310   1336      0x144   0x100003 Semaphore        
0x818a9348   1336      0x148   0x100003 Semaphore        
0x815c9240   1336      0x14c   0x12019f File             \Device\NamedPipe\winreg
0x817aca20   1336      0x150   0x12019f File             \Device\NamedPipe\winreg
0x81901618   1336      0x154   0x1f0003 Event            
0x813a5da8   1336      0x158   0x1f03ff Thread           TID 1996 PID 1336
0x8157f9c8   1336      0x15c   0x1f0003 Event            Microsoft.RPC_Registry_Server
0xe1e3f540   1336      0x160   0x1f0001 Port             
0x812b7f60   1336      0x164  0x21f0003 Event            
0x812b7f90   1336      0x168   0x1f0003 Event            
0x812b6158   1336      0x16c   0x1f0003 Event            
0x812da3e0   1336      0x170   0x1f03ff Thread           TID 2164 PID 1336
0x812b63a8   1336      0x174   0x1f0003 IoCompletion     
0x8131fd98   1336      0x178   0x1f0003 Timer            
0x812b4020   1336      0x17c   0x1f03ff Thread           TID 2176 PID 1336
0x812b7ef8   1336      0x180   0x1f0003 Event            
0x812b7ec8   1336      0x184   0x1f0003 Event            
0xe18b8df0   1336      0x188       0x10 Key              MACHINE\SYSTEM\CONTROLSET001\SERVICES\SHAREDACCESS\EPOCH
0x812b64c8   1336      0x18c   0x1f0003 Event            
0x812b6498   1336      0x190   0x1f0003 Event            
0x812b6468   1336      0x194   0x1f0003 Event            
0x812b6438   1336      0x198   0x1f0003 Event            
0x812e1658   1336      0x19c   0x1200a0 File             \Device\Tcp
0xe181b8f0   1336      0x1a0    0x20019 Key              MACHINE\SOFTWARE\CLASSES
0xe194a920   1336      0x1a4    0xf003f Key              USER\S-1-5-19_CLASSES
0x812b7160   1336      0x1a8   0x1f0003 Event            
0xe1860b28   1336      0x1ac    0x20019 Key              MACHINE\SOFTWARE\MICROSOFT\COM3
0x812b7130   1336      0x1b0   0x1f0003 Event            
0xe181bc78   1336      0x1b4       0x10 Key              USER
0x812b7100   1336      0x1b8   0x1f0003 Event            
0xe18b8cb8   1336      0x1bc    0x20019 Key              MACHINE\SOFTWARE\CLASSES
0x812b70d0   1336      0x1c0   0x1f0003 Event            
0xe18b8e58   1336      0x1c4       0x10 Key              USER
0x812b70a0   1336      0x1c8   0x1f0003 Event            
0xe17549b0   1336      0x1cc    0x20019 Key              MACHINE\SOFTWARE\MICROSOFT\COM3
0x812da800   1336      0x1d0   0x1f0003 Event            
0xe1754410   1336      0x1d4    0x20019 Key              MACHINE\SOFTWARE\MICROSOFT\COM3
0x812da798   1336      0x1d8   0x1f0003 Event            
0xe15c1718   1336      0x1dc    0x20019 Key              MACHINE\SOFTWARE\CLASSES\CLSID
0x812da730   1336      0x1e0   0x1f0003 Event            
0xe1c96460   1336      0x1e4    0x20019 Key              MACHINE\SOFTWARE\CLASSES
0x812da6c8   1336      0x1e8   0x1f0003 Event            
0xe1c5ab50   1336      0x1ec    0x20019 Key              MACHINE\SOFTWARE\MICROSOFT\COM3
0x812da660   1336      0x1f0   0x1f0003 Event            
0xe15d7820   1336      0x1f4       0x10 Key              USER
0x812b8b80   1336      0x1f8   0x1f0003 Event            
0xe1753638   1336      0x1fc    0x20019 Key              MACHINE\SOFTWARE\MICROSOFT\COM3
0x812b8b18   1336      0x200   0x1f0003 Event            
0xe15851c8   1336      0x204    0x20019 Key              MACHINE\SOFTWARE\MICROSOFT\COM3
0x812b8ab0   1336      0x208   0x1f0003 Event            
0xe1c938a0   1336      0x20c    0x20019 Key              MACHINE\SOFTWARE\CLASSES\CLSID
0x812b8a48   1336      0x210   0x1f0003 Event            
0xe1c949c0   1336      0x214  0x20f003f Key              USER\S-1-5-19_CLASSES
0xe1893020   1336      0x218    0x20019 Key              USER\S-1-5-19_CLASSES
0x812b7be8   1336      0x21c   0x1f03ff Thread           TID 2144 PID 1336
0x8131d020   1336      0x220   0x1f0003 Event            
0x815509f8   1336      0x224   0x12019f File             \Device\Afd\Endpoint
0x813193f0   1336      0x228   0x1200a0 File             \Device\Udp
0x812bc0a0   1336      0x22c   0x1f0003 Event            
0x814db490   1336      0x234   0x1f0003 Semaphore        
0x812b75c0   1336      0x238   0x1f03ff Thread           TID 2252 PID 1336
0x81502020   1336      0x244   0x1f03ff Thread           TID 1320 PID 1336
0xe1e7b380   1336      0x248   0x1f0001 Port             
0x818a5f70   1336      0x250   0x1f0003 Event            
0x812b4db0   1336      0x254   0x1f0003 Event            
0xe1580870   1336      0x258   0x1f0001 Port             LRPC00000538.00000001
0x814df178   1336      0x25c   0x1f0003 Event            
0x812b3da8   1336      0x260   0x1f03ff Thread           TID 2264 PID 1336
0x812bb1b0   1336      0x264   0x1f0003 Event            
0x812b4728   1336      0x268   0x1f0003 Event            
0x812b3970   1336      0x26c   0x1f03ff Thread           TID 2268 PID 1336
0x81637840   1336      0x270   0x1f03ff Thread           TID 2256 PID 1336
0x812d2f68   1336      0x274   0x100003 Event            
0x812b4660   1336      0x278   0x1f0003 Event            
0x812af598   1336      0x27c   0x1f0003 Event            
0x812af748   1336      0x280   0x1f03ff Thread           TID 2320 PID 1336
0xe1cf6d28   1336      0x284   0x1f0001 Port             
0x812b64f8   1336      0x288   0x1f03ff Thread           TID 2172 PID 1336
0x812b3400   1336      0x28c   0x1f0003 Event            
0x812b33d0   1336      0x290   0x100003 Event            
0x812b3970   1336      0x294   0x1f03ff Thread           TID 2268 PID 1336
0x812b3430   1336      0x298   0x1f0003 Event            
0x813a5710   1336      0x29c   0x1f0003 Event            
0x812c0e88   1336      0x2a0   0x1f0003 Event            
0x812b64f8   1336      0x2a4   0x1f03ff Thread           TID 2172 PID 1336
0x8166b360   1336      0x2a8   0x1f0003 Event            
0x81637840   1336      0x2ac   0x1f03ff Thread           TID 2256 PID 1336
0xe183e788   1336      0x2b0    0x20019 Key              USER\S-1-5-19_CLASSES
0x81819100   1336      0x2b4   0x1f0003 Event            
0x812e2a30   1336      0x2b8   0x1f0003 Event            
0x81940a58   1336      0x2bc   0x1f0003 Event            
0x813212b8   1336      0x2c0   0x1f03ff Thread           TID 1696 PID 1336
0xe1000080   1516        0x4    0xf0003 KeyedEvent       CritSecOutOfMemoryEvent
0xe15b28e8   1516        0x8        0x3 Directory        KnownDlls
0x8136b2a0   1516        0xc   0x100020 File             \Device\HarddiskVolume1\WINDOWS\system32
